code,description,length,height,group
22B0,Bulk,20,8.5,22B0
22B1,Dry Bulk,20,8.5,22B0
22B3,Dry Bulk,20,8.5,22B0
22B4,Dry Bulk,20,8.5,22B0
22B5,Dry Bulk,20,8.5,22B0
22B6,Dry Bulk,20,8.5,22B0
22BK,Dry Bulk,20,8.5,22B0
2080,Dry Bulk,20,8,22B0
20B0,Dry Bulk,20,8,22B0
20B1,Dry Bulk,20,8,22B0
20B3,Dry Bulk,20,8,22B0
20B4,Dry Bulk,20,8,22B0
20B5,Dry Bulk,20,8,22B0
20B6,Dry Bulk,20,8,22B0
20BK,Dry Bulk,20,8,22B0
20BU,Dry Bulk,20,8,22B0
2280,Dry Bulk,20,8.5,22B0
2281,Dry Bulk,20,8.5,22B0
2299,Air/Surface,20,8.5,22B0
22BU,Dry Bulk,20,8.5,22B0
22G0,Standard Dry,20,8.5,22G0
22G1,Standard Dry,20,8.5,22G0
22G2,Standard Dry,20,8.5,22G0
22G3,Standard Dry,20,8.5,22G0
22V3,Standard Dry,20,8.5,22G0
2300,Standard Dry,20,8.5,22G0
2301,Standard Dry,20,8.5,22G0
2302,Standard Dry,20,8.5,22G0
2303,Standard Dry,20,8.5,22G0
2304,Standard Dry,20,8.5,22G0
2410,HIGH CUBE,20,9.5,22G0
24G0,Standard Dry,20,9,22G0
24G1,Standard Dry,20,9,22G0
24G2,Standard Dry,20,9,22G0
24G3,Standard Dry,20,9,22G0
24GP,Standard Dry,20,9,22G0
2500,Standard Dry,20,8.5,22G0
25G0,Standard Dry High Cube,20,9,22G0
2600,Standard Dry,20,4.25,22G0
26G0,Standard Dry,20,9.5,22G0
26G1,Standard Dry,20,9.5,22G0
26G2,Standard Dry,20,9.5,22G0
26G3,Standard Dry,20,9.5,22G0
26GP,Standard Dry,20,9.5,22G0
28G0,Standard Dry,20,4.25,22G0
28GP,Standard Dry,20,4.25,22G0
28U1,BIN HALF HEIGHT (OPEN TOP),20,4.25,22G0
28U2,"OPENING(S) AT ONE OR BOTH ENDS, PLUS REMV TOP MEMB",20,8.5,22G0
28UT,"OPENING(S) AT ONE OR BOTH ENDS, PLUS REMV TOP MEMB",20,8.5,22G0
2994,Air/Surface,20,4,22G0
2999,SLIDER CHASSIS,20,0,22G0
3000,Standard Dry,30,8,22G0
30G0,DRY CARGO/GENERAL PURPOSE,30,8,22G0
3200,Standard Dry,30,8.5,22G0
32G0,DRY CARGO/GENERAL PURPOSE,30,8.5,22G0
3399,TRIAXLE CHASSIS,23,0,22G0
7999,SLIDER CHASSIS,20,0,22G0
B2G1,PASSIVE VENTS AT UPPER PART OF CARGO SPACE,24,8.5,22G0
1000,Standard Dry,10,8,22G0
10G0,DRY CARGO/GENERAL PURPOSE,10,8,22G0
1200,Standard Dry,10,8.5,22G0
12G0,DRY CARGO/GENERAL PURPOSE,10,8.5,22G0
2000,Standard Dry,20,8,22G0
2001,Standard Dry,20,8,22G0
2002,Standard Dry,20,8,22G0
2003,Standard Dry,20,8,22G0
2004,Standard Dry,20,8,22G0
2025,Livestock Carrier,20,8,22G0
20G0,Standard Dry,20,8,22G0
20G1,Standard Dry,20,8,22G0
20G2,Standard Dry,20,8,22G0
20G3,Standard Dry,20,8,22G0
20GP,Standard Dry,20,8,22G0
2101,Standard Dry,20,8,22G0
2102,Standard Dry,20,8,22G0
2103,Standard Dry,20,8,22G0
2104,Standard Dry,20,8,22G0
2125,Livestock Carrier,20,8,22G0
2200,Standard Dry,20,8.5,22G0
2201,Standard Dry,20,8.5,22G0
2202,Standard Dry,20,8.5,22G0
2204,Standard Dry,20,8.5,22G0
2205,Standard Dry,20,8.5,22G0
2210,Standard Dry,20,8.5,22G0
2213,Standard Dry,20,8.5,22G0
2225,Livestock Carrier,20,8.5,22G0
22GP,Standard Dry,20,8.5,22G0
2212,General Purpose (Hanging Garments),20,8.5,22G0
25GP,High Cube,20,9.6,22G0
22H0,Insulated (Conair),20,8.5,22H0
22H1,Thermal Refrigerated/Heated,20,8.5,22H0
22H2,Thermal Refrigerated/Heated,20,8.5,22H0
22H5,Thermal Insulated,20,8.5,22H0
22H6,Thermal Insulated,20,8.5,22H0
22HI,Thermal Refrigerated/Heated,20,8.5,22H0
24H5,Thermal Insulated,20,9,22H0
24H6,Thermal Insulated,20,9,22H0
2020,Thermal Insulated,20,8,22H0
20H0,Thermal Refrigerated/Heated,20,8,22H0
20H1,Thermal Refrigerated/Heated,20,8,22H0
20H2,Thermal Refrigerated/Heated,20,8,22H0
20H5,Thermal Insulated,20,8,22H0
20H6,Thermal Insulated,20,8,22H0
20HI,Thermal Refrigerated/Heated,20,8,22H0
20HR,Thermal Refrigerated/Heated,20,8,22H0
2220,Thermal Insulated,20,8.5,22H0
2224,Insulated,20,8.5,22H0
22HR,Thermal Refrigerated/Heated,20,8.5,22H0
22P1,Flat Rack,20,8.5,22P1
22P2,Platform,20,8.5,22P1
22P4,Platform,20,8.5,22P1
22P5,Platform,20,8.5,22P1
22P7,PLATFORM FIXED,20,8.5,22P1
22P8,Platform,20,8.5,22P1
22P9,Platform,20,8.5,22P1
22PL,Platform,20,8.5,22P1
22PS,Platform,20,8.5,22P1
2361,Platform,20,8.5,22P1
2362,Platform,20,8.5,22P1
2363,Platform,20,8.5,22P1
2364,Platform,20,8.5,22P1
2365,Platform,20,8.5,22P1
2366,Platform,20,8.5,22P1
2367,Platform,20,8.5,22P1
2651,Open Top,20,4.25,22P1
2661,Platform,20,4.25,22P1
2761,Platform,20,4.25,22P1
2063,Flat,20,8,22P1
2066,Platform,20,8,22P1
2067,Platform,20,8,22P1
20P2,Platform,20,8,22P1
20P4,Platform,20,8,22P1
20P5,Platform,20,8,22P1
20PC,Platform,20,8,22P1
20PF,Platform,20,8,22P1
20PL,Platform,20,8,22P1
20PS,Platform,20,8,22P1
2160,Flat,20,8,22P1
2161,Platform,20,8,22P1
2162,Platform,20,8,22P1
2163,Platform,20,8,22P1
2164,Platform,20,8,22P1
2165,Platform,20,8,22P1
2166,Platform,20,8,22P1
2167,Platform,20,8,22P1
2260,Flat,20,8.5,22P1
2261,Flat,20,8.5,22P1
2262,Platform,20,8.5,22P1
2265,Platform,20,8.5,22P1
2266,Platform,20,8.5,22P1
2267,Platform,20,8.5,22P1
22PF,Platform,20,8.5,22P1
22PC,Platform,20,8.5,22P1
8888,Uncontainerised,0,0,8888
22P3,Collapsible Flat Rack,20,8.5,22P3
20P3,Platform,20,8,22P3
2263,Flat,20,8.5,22P3
2264,Platform,20,8.5,22P3
22R1,Reefer,20,8.5,22R1
22R2,Thermal Refrigerated/Heated,20,8.5,22R1
22R3,Thermal Refrigerated/Heated,20,8.5,22R1
22R9,Thermal Refrigerated/Heated,20,8.5,22R1
22RC,Thermal Refrigerated/Heated,20,8.5,22R1
22RE,Thermal Refrigerated,20,8.5,22R1
22RS,Thermal Refrigerated/Heated,20,8.5,22R1
2330,Thermal Refrigerated,20,8.5,22R1
2331,Thermal Refrigerated,20,8.5,22R1
2332,Thermal Refrigerated/Heated,20,8.5,22R1
2432,Thermal Refrigerated/Heated,20,9,22R1
24H0,Thermal Refrigerated/Heated,20,9,22R1
24H1,Thermal Refrigerated/Heated,20,9,22R1
24H2,Thermal Refrigerated/Heated,20,9,22R1
24HI,Thermal Refrigerated/Heated,20,9,22R1
24HR,Thermal Refrigerated/Heated,20,9,22R1
24R0,Thermal Refrigerated/Heated,20,9,22R1
24R1,Thermal Refrigerated/Heated,20,9,22R1
24R2,Thermal Refrigerated/Heated,20,9,22R1
24R3,Thermal Refrigerated/Heated,20,9,22R1
24RE,Thermal Refrigerated,20,9,22R1
24RS,Thermal Refrigerated/Heated,20,9,22R1
24RT,Thermal Refrigerated/Heated,20,9,22R1
2030,Thermal Refrigerated,20,8,22R1
2031,Thermal Refrigerated,20,8,22R1
2032,Thermal Refrigerated/Heated,20,8,22R1
2040,Thermal Refrigerated,20,8,22R1
2041,Thermal Refrigerated,20,8,22R1
2042,Thermal Refrigerated,20,8,22R1
2043,Thermal Refrigerated,20,8,22R1
20R0,Thermal Refrigerated,20,8,22R1
20R1,Thermal Refrigerated/Heated,20,8,22R1
20R2,Thermal Refrigerated/Heated,20,8,22R1
20R3,Thermal Refrigerated/Heated,20,8,22R1
20RE,Thermal Refrigerated,20,8,22R1
20RS,Thermal Refrigerated/Heated,20,8,22R1
20RT,Thermal Refrigerated/Heated,20,8,22R1
2130,Thermal Refrigerated,20,8,22R1
2131,Thermal Refrigerated,20,8,22R1
2132,Thermal Refrigerated,20,8,22R1
2230,Thermal Refrigerated,20,8.5,22R1
2231,Thermal Refrigerated,20,8.5,22R1
2232,Thermal Refrigerated/Heated,20,8.5,22R1
2240,Thermal Refrigerated,20,8.5,22R1
2242,Thermal Refrigerated,20,8.5,22R1
22R0,Thermal Refrigerated/Heated,20,8.5,22R1
22RT,Thermal Refrigerated/Heated,20,8.5,22R1
2234,"Thermal containers, Heated",20,8.5,22R1
22T0,Tank,20,8.5,22T0
22T1,Tank,20,8.5,22T0
22T2,Tank,20,8.5,22T0
22T3,Tank,20,8.5,22T0
22T4,Tank,20,8.5,22T0
22T5,Tank,20,8.5,22T0
22T6,Tank,20,8.5,22T0
22T7,Tank,20,8.5,22T0
22T8,Tank,20,8.5,22T0
22T9,Tank,20,8.5,22T0
22TD,Tank,20,8.5,22T0
22TG,Tank,20,8.5,22T0
2670,Tank,20,4.25,22T0
2671,Tank,20,4.25,22T0
2870,HALF HEIGHT THERMAL TANK,20,0,22T0
2070,Tank,20,8,22T0
2071,Tank,20,8,22T0
2072,Tank,20,8,22T0
2073,Tank,20,8,22T0
2074,Tank,20,8,22T0
2075,Tank,20,8,22T0
2076,Tank,20,8,22T0
2077,Tank,20,8,22T0
2078,Tank,20,8,22T0
2079,Tank,20,8,22T0
20T0,Tank,20,8,22T0
20T1,Tank,20,8,22T0
20T2,Tank,20,8,22T0
20T3,Tank,20,8,22T0
20T4,Tank,20,8,22T0
20T5,Tank,20,8,22T0
20T6,Tank,20,8,22T0
20T7,Tank,20,8,22T0
20T8,Tank,20,8,22T0
20T9,Tank,20,8,22T0
20TD,Tank,20,8,22T0
20TG,Tank,20,8,22T0
20TN,Tank,20,8,22T0
2270,Tank,20,8.5,22T0
2271,Tank,20,8.5,22T0
2272,Tank,20,8.5,22T0
2273,Tank,20,8.5,22T0
2274,Tank,20,8.5,22T0
2275,Tank,20,8.5,22T0
2276,Tank,20,8.5,22T0
2277,Tank,20,8.5,22T0
2278,Tank,20,8.5,22T0
2279,Tank,20,8.5,22T0
22TN,Tank,20,8.5,22T0
22U1,Open Top,20,8.5,22U1
22U2,Open Top,20,8.5,22U1
22U3,Open Top,20,8.5,22U1
22U4,Open Top,20,8.5,22U1
22U5,Open Top,20,8.5,22U1
22U6,Standard Dry,20,8.5,22U1
2650,Open Top,0,4.25,22U1
2750,Open Top,20,4.25,22U1
2770,Tank,20,4.25,22U1
2771,Tank,20,4.25,22U1
2851,HALF OPEN TOP,20,0,22U1
2050,Open Top,20,8,22U1
2051,Open Top,20,8,22U1
2052,Open Top,20,8,22U1
2053,Open Top,20,8,22U1
20U0,Open Top,20,8,22U1
20U1,Open Top,20,8,22U1
20U2,Open Top,20,8,22U1
20U3,Open Top,20,8,22U1
20U4,Open Top,20,8,22U1
20U5,Open Top,20,8,22U1
20UT,Open Top,20,8,22U1
2150,Open Top,20,8,22U1
2203,Standard Dry,20,8.5,22U1
2250,Open Top,20,8.5,22U1
2251,Open Top,20,8.5,22U1
2252,Open Top,20,8.5,22U1
2253,Open Top,20,8.5,22U1
2259,Open Top,20,8.5,22U1
22U0,Open Top,20,8.5,22U1
22UT,Open Top,20,8.5,22U1
22UP,Hard Top,20,8.5,22UP
22V0,Closed Vented,20,8.5,22VH
22V2,Closed Vented,20,8.5,22VH
22V4,Closed Vented,20,8.5,22VH
22VH,Ventilated,20,8.5,22VH
28VH,Vented,20,4.75,22VH
28VO,Vented,20,4.75,22VH
2010,Closed Vented,20,8,22VH
2011,Closed Vented,20,8,22VH
2013,Closed Ventilated,20,8,22VH
2015,Closed Ventilated,20,8,22VH
2017,Closed Ventilated,20,8,22VH
20V0,Closed Vented,20,8,22VH
20V2,Closed Vented,20,8,22VH
20V4,Closed Vented,20,8,22VH
20VH,Closed Vented,20,8,22VH
2113,Closed Ventilated,20,8,22VH
2117,Closed Ventilated,20,8,22VH
2211,Closed Vented,20,8.5,22VH
2215,Closed Ventilated,20,8.5,22VH
2216,Closed Ventilated,20,8.5,22VH
2217,Closed Ventilated,20,8.5,22VH
29P0,Platform,20,1,29P0
29P1,PLATFORM (CONTAINER),20,4,29P0
2060,Platform,20,8,29P0
2061,Platform,20,8,29P0
2062,Platform,20,8,29P0
2064,Platform,20,8,29P0
2065,Platform,20,8,29P0
20P0,Platform,20,8,29P0
20P1,Platform,20,8,29P0
22P0,Platform,20,8.5,29P0
2760,Platform,20,4.25,29P0
2960,Platform,20,4,29P0
2969,Platform,20,4,29P0
29PL,PLATFORM (CONTAINER),20,1,29P0
42G0,Standard Dry,40,8.5,42G0
42G1,Standard Dry,40,8.5,42G0
42G2,Standard Dry,40,8.5,42G0
42G3,Standard Dry,40,8.5,42G0
4300,Standard Dry,40,8.5,42G0
4301,Standard Dry,40,8.5,42G0
4302,Standard Dry,40,8.5,42G0
4303,Standard Dry,40,8.5,42G0
4304,Standard Dry,40,8.5,42G0
4305,Standard Dry,40,8.5,42G0
4310,Standard Dry,40,8.5,42G0
4311,Closed Vented,40,8.5,42G0
4312,General Purpose (Hanging Garments),40,8.5,42G0
4313,VENTILATED,40,0,42G0
4315,Closed Ventilated,40,8.5,42G0
4325,Livestock Carrier,40,8.5,42G0
4326,Automobile Carrier,40,8.5,42G0
4380,Dry Bulk,40,8.5,42G0
44G0,Standard Dry,40,9,42G0
44G1,Standard Dry,40,9,42G0
44G2,Standard Dry,40,9,42G0
44G3,Standard Dry,40,9,42G0
44GP,Standard Dry,40,9,42G0
4595,Air/Surface,40,8.5,42G0
4599,Air/Surface,40,9,42G0
4651,HALF HIGH,40,0,42G0
4699,Air/Surface,40,4.25,42G0
4886,Dry Bulk,40,4.25,42G0
48UI,HALF HEIGHT (OPEN TOP),40,4.25,42G0
4994,Air/Surface,40,8.5,42G0
4999,GOOSENECK CHASSIS,40,0,42G0
4CG0,OPENING(S) AT ONE OR BOTH ENDS,40,8.5,42G0
4CGP,OPENING(S) AT ONE OR BOTH ENDS,40,8.5,42G0
8500,Standard Dry,35,8.5,42G0
8599,Air/Surface,35,8.5,42G0
9995,Air/Surface,40,4,42G0
9998,Air/Surface,40,4,42G0
9999,Air/Surface,40,4,42G0
M2G0,OPENING(S) AT ONE END OR BOTH ENDS,48,8.5,42G0
P2G0,OPENING(S) AT ONE END OR BOTH ENDS,53,8.5,42G0
4000,Standard Dry,40,8,42G0
4001,Standard Dry,40,8,42G0
4002,Standard Dry,40,8,42G0
4003,Standard Dry,40,8,42G0
